timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748001667459,428,Ebay.pl main page-1,200,OK,Ebay.pl users 1-1,text,true,,340404,113,6,6,https://www.ebay.pl/,313,0,0
1748001667423,547,Ebay.pl main page,200,OK,Ebay.pl users 1-4,text,true,,340295,226,6,6,https://www.ebay.pl/,69,0,0
1748001667423,69,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-4,,true,,188,113,6,6,http://www.ebay.pl/,69,0,0
1748001667492,478,Ebay.pl main page-1,200,OK,Ebay.pl users 1-4,text,true,,340107,113,6,6,https://www.ebay.pl/,396,0,0
1748001667653,624,Ebay.pl main page,200,OK,Ebay.pl users 1-5,text,true,,340567,226,6,6,https://www.ebay.pl/,71,0,0
1748001667653,71,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-5,,true,,188,113,6,6,http://www.ebay.pl/,71,0,0
1748001667725,552,Ebay.pl main page-1,200,OK,Ebay.pl users 1-5,text,true,,340379,113,6,6,https://www.ebay.pl/,433,0,0
1748001667764,603,Ebay.pl main page,200,OK,Ebay.pl users 1-3,text,true,,340196,226,6,6,https://www.ebay.pl/,83,0,0
1748001667764,83,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-3,,true,,188,113,6,6,http://www.ebay.pl/,83,0,0
1748001667847,520,Ebay.pl main page-1,200,OK,Ebay.pl users 1-3,text,true,,340008,113,6,6,https://www.ebay.pl/,320,0,0
1748001667830,603,Ebay.pl main page,200,OK,Ebay.pl users 1-2,text,true,,340567,226,6,6,https://www.ebay.pl/,73,0,0
1748001667830,73,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-2,,true,,188,113,6,6,http://www.ebay.pl/,73,0,0
1748001667903,530,Ebay.pl main page-1,200,OK,Ebay.pl users 1-2,text,true,,340379,113,6,6,https://www.ebay.pl/,289,0,0
1748001667699,772,Ebay.pl main page,200,OK,Ebay.pl users 1-6,text,true,,340158,226,6,6,https://www.ebay.pl/,74,0,0
1748001667699,74,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-6,,true,,188,113,6,6,http://www.ebay.pl/,74,0,0
1748001667773,698,Ebay.pl main page-1,200,OK,Ebay.pl users 1-6,text,true,,339970,113,6,6,https://www.ebay.pl/,375,0,0
1748001667888,649,Ebay.pl main page,200,OK,Ebay.pl users 1-1,text,true,,14262,471,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=b99b8a4c-fb99-40c5-96e0-00525d8a3ea6&iim=vMTg1LjC&iia=YhEzLjE4BI&iiz=UiaNi4xNTg*nBW,86,0,0
1748001667888,86,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-1,,true,,188,113,6,6,http://www.ebay.pl/,86,0,0
1748001667974,215,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-1,,true,,401,113,6,6,https://www.ebay.pl/,215,0,0
1748001668189,348,Ebay.pl main page-2,200,OK,Ebay.pl users 1-1,text,true,,13673,245,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=b99b8a4c-fb99-40c5-96e0-00525d8a3ea6&iim=vMTg1LjC&iia=YhEzLjE4BI&iiz=UiaNi4xNTg*nBW,344,0,0
1748001667971,572,Ebay.pl main page,200,OK,Ebay.pl users 1-4,text,true,,14179,471,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=927a1bf6-70f0-4a9e-a850-87c52a1d0a72&iim=FMTg1LjG&iia=qsEzLjE4bh&iiz=bHxNi4xNTg*jyA,50,0,0
1748001667971,50,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-4,,true,,188,113,6,6,http://www.ebay.pl/,50,0,0
1748001668021,213,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-4,,true,,401,113,6,6,https://www.ebay.pl/,213,0,0
1748001668234,309,Ebay.pl main page-2,200,OK,Ebay.pl users 1-4,text,true,,13590,245,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=927a1bf6-70f0-4a9e-a850-87c52a1d0a72&iim=FMTg1LjG&iia=qsEzLjE4bh&iiz=bHxNi4xNTg*jyA,309,0,0
1748001668278,650,Ebay.pl main page,200,OK,Ebay.pl users 1-5,text,true,,14166,471,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=f2bd113a-6c6a-491c-88d5-c424768a03e4&iim=KMTg1Ljd&iia=oQEzLjE4Nm&iiz=MugNi4xNTg*OiW,113,0,0
1748001668278,113,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-5,,true,,188,113,6,6,http://www.ebay.pl/,113,0,0
1748001668392,245,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-5,,true,,401,113,6,6,https://www.ebay.pl/,245,0,0
1748001668637,291,Ebay.pl main page-2,200,OK,Ebay.pl users 1-5,text,true,,13577,245,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=f2bd113a-6c6a-491c-88d5-c424768a03e4&iim=KMTg1Ljd&iia=oQEzLjE4Nm&iiz=MugNi4xNTg*OiW,291,0,0
1748001668368,624,Ebay.pl main page,200,OK,Ebay.pl users 1-3,text,true,,14170,471,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=e313dcd3-75e0-414f-aaf9-4ca5cca5e88e&iim=gMTg1LjT&iia=IFEzLjE4ft&iiz=FNoNi4xNTg*fUH,83,0,0
1748001668368,83,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-3,,true,,188,113,6,6,http://www.ebay.pl/,83,0,0
1748001668451,251,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-3,,true,,401,113,6,6,https://www.ebay.pl/,251,0,0
1748001668702,290,Ebay.pl main page-2,200,OK,Ebay.pl users 1-3,text,true,,13581,245,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=e313dcd3-75e0-414f-aaf9-4ca5cca5e88e&iim=gMTg1LjT&iia=IFEzLjE4ft&iiz=FNoNi4xNTg*fUH,290,0,0
1748001668435,635,Ebay.pl main page,200,OK,Ebay.pl users 1-2,text,true,,14227,471,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=754a34b6-5e4e-49b5-8ecd-8d579dad8994&iim=xMTg1Lji&iia=KnEzLjE4qh&iiz=FbhNi4xNTg*LDn,113,0,0
1748001668435,113,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-2,,true,,188,113,6,6,http://www.ebay.pl/,113,0,0
1748001668548,221,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-2,,true,,401,113,6,6,https://www.ebay.pl/,221,0,0
1748001668769,301,Ebay.pl main page-2,200,OK,Ebay.pl users 1-2,text,true,,13638,245,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=754a34b6-5e4e-49b5-8ecd-8d579dad8994&iim=xMTg1Lji&iia=KnEzLjE4qh&iiz=FbhNi4xNTg*LDn,297,0,0
1748001668538,568,Ebay.pl main page,200,OK,Ebay.pl users 1-1,text,true,,14169,471,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=9354eaa5-21a2-4020-ad8c-ee2f3bb2e204&iim=KMTg1Ljs&iia=zsEzLjE4qD&iiz=tYBNi4xNTg*fXe,54,0,0
1748001668538,54,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-1,,true,,188,113,6,6,http://www.ebay.pl/,54,0,0
1748001668592,210,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-1,,true,,401,113,6,6,https://www.ebay.pl/,210,0,0
1748001668802,304,Ebay.pl main page-2,200,OK,Ebay.pl users 1-1,text,true,,13580,245,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=9354eaa5-21a2-4020-ad8c-ee2f3bb2e204&iim=KMTg1Ljs&iia=zsEzLjE4qD&iiz=tYBNi4xNTg*fXe,304,0,0
1748001668472,659,Ebay.pl main page,200,OK,Ebay.pl users 1-6,text,true,,14164,471,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=41fa2b71-7ec4-4ae7-af8c-f619ac2b6ba8&iim=PMTg1LjQ&iia=CBEzLjE4Do&iiz=cfBNi4xNTg*Lqp,98,0,0
1748001668472,98,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-6,,true,,188,113,6,6,http://www.ebay.pl/,98,0,0
1748001668570,244,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-6,,true,,401,113,6,6,https://www.ebay.pl/,244,0,0
1748001668814,317,Ebay.pl main page-2,200,OK,Ebay.pl users 1-6,text,true,,13575,245,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=41fa2b71-7ec4-4ae7-af8c-f619ac2b6ba8&iim=PMTg1LjQ&iia=CBEzLjE4Do&iiz=cfBNi4xNTg*Lqp,317,0,0
1748001668545,642,Ebay.pl main page,200,OK,Ebay.pl users 1-4,text,true,,14163,471,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=b54f037b-a10c-4869-b665-57dc1b226834&iim=nMTg1LjF&iia=RZEzLjE4yj&iiz=DQMNi4xNTg*bLP,126,0,0
1748001668545,126,Ebay.pl main page-0,301,Moved Permanently,Ebay.pl users 1-4,,true,,188,113,6,6,http://www.ebay.pl/,126,0,0
1748001668671,238,Ebay.pl main page-1,302,Moved Temporarily,Ebay.pl users 1-4,,true,,401,113,6,6,https://www.ebay.pl/,238,0,0
1748001668909,278,Ebay.pl main page-2,200,OK,Ebay.pl users 1-4,text,true,,13574,245,6,6,https://www.ebay.pl/splashui/distil?ap=2&appName=orch&page=block&iid=b54f037b-a10c-4869-b665-57dc1b226834&iim=nMTg1LjF&iia=RZEzLjE4yj&iiz=DQMNi4xNTg*bLP,278,0,0
